,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Usar 3 BILHÕES em emendas para comprar votos por si só já deveria ser crime de responsabilidade   Ainda mais numa pandemia que já matou 225 mil brasileiros  3 bilhões comprariam 100 milhões de doses de vacina, metade da população imunizada Mas Bolsonaro preferiu comprar seu poder",280,1356247624760889344,2021-02-01 14:26:46,Twitter for iPhone,7380,1999,"Rio de Janeiro, Brasil",,
1,Saudade de fritar um ovo assim no carnaval  kd a vacina https://t.co/CGkGBZ6n9M,79,1356316392597954560,2021-02-01 19:00:01,Twitter Web App,11364,2029,Brasil,,
2,"Gente, peleamor, saibam diferenciar quem morreu depois de tomar a vacina  de quem morreu porque tomou a vacina. Quanto mais vacinarmos, mais chances tem de qualquer coisa sem relação nenhuma com a vacina acontecer aos vacinados.",228,1356641489712001025,2021-02-02 16:31:50,Twitter for iPhone,13196,1053,São Paulo,,
3,"Enquanto brasileiros reviram lixo para comer e morrem sem vacina, Bolsonaro torra milhões para comprar votos do centrão. Impeachment já para salvar vidas e dar dignidade às famílias.",182,1356298130405388302,2021-02-01 17:47:27,Twitter Web App,9814,995,Brasil,,
4,"O Instituto Butantan acaba de receber a confirmação da embaixada da China para a liberação do segundo lote de 5.600 litros de insumos, que vão permitir a produção de mais 8,7 milhões de doses da vacina do Butantan. A previsão de chegada deste novo lote é até dia 10/02.",269,1356275987558903808,2021-02-01 16:19:28,Twitter Web App,6148,371,"São Paulo, SP, Brasil",,
5,"São Fake News as mensagens que circulam nas redes afirmando que o indígena Fernando Katukina, do Acre, morreu após tomar a vacina contra Covid-19. A médica que o atendeu já negou e disse que a vacina é segura. #Vacina #Podeconfiar #ÉdoButantan #VacinadoButantan #Butantan120Anos https://t.co/AAcMJHZ0jK",302,1356650264825126916,2021-02-02 17:06:43,mLabs - Gestão de Redes Sociais,1197,340,"São Paulo, Brasil",,
6,"Mais uma boa notícia: além dos 5,4 mil litros de insumos que chegarão da China na 4ª feira (03/02), outros 5,6 mil litros virão dia 10/02. Com estes lotes, serão produzidas mais 17,3 milhões de doses da vacina contra Covid-19. #Podeconfiar #VacinadoButantan #Butantan120Anos",274,1356335465390088193,2021-02-01 20:15:49,Twitter for iPhone,3107,414,"São Paulo, Brasil",,
7,"A dose da Pfizer negociada com o governo americano custa $20.   Se esse preço fosse oferecido ao Brasil, ao câmbio corrente, 1 dose dessa vacina custaria R$ 110, aproximadamente.  Se o governo comprasse 100 milhões de doses da Pfizer para vacinar 50 milhões de brasileiros... +",277,1356278569576628229,2021-02-01 16:29:44,Twitter Web App,1720,188,"Washington, DC",,
8,karol conka conseguiu fazer o brasileiro esquecer da vacina de tanta RAIVA,74,1356428359794884608,2021-02-02 02:24:56,Twitter for iPhone,423,264,"Rio de Janeiro, Brasil",,
9,"Eficácia da vacina Sputnik V para Covid-19 é de 91,6%, apontam resultados preliminares publicados na 'The Lancet' https://t.co/bR0Ty3EYxH #G1 https://t.co/Gl9JiJ6NJV",165,1356601004020629506,2021-02-02 13:50:58,TweetDeck,3475,235,Brasil,,
